draw_date,winning_numbers,prize_5,prize_4,prize_3,n1,n2,n3,n4,n5
9/14/2014,04 20 24 26 43,0,799,17,4,20,24,26,43
9/15/2014,04 10 12 20 43,397978,523,14,4,10,12,20,43
9/16/2014,15 24 27 32 42,0,883,19,15,24,27,32,42
9/17/2014,07 08 20 29 30,0,417,13,7,8,20,29,30
9/18/2014,08 28 30 36 41,0,705,17,8,28,30,36,41
9/19/2014,05 08 16 28 29,267134,337,12,5,8,16,28,29
9/20/2014,06 28 35 38 42,0,769,20,6,28,35,38,42
9/21/2014,07 15 32 35 36,0,594,17,7,15,32,35,36
9/22/2014,04 12 27 37 43,303520,572,16,4,12,27,37,43
9/23/2014,02 06 09 17 19,0,243,10,2,6,9,17,19
9/24/2014,06 26 27 29 38,0,524,15,6,26,27,29,38
9/25/2014,06 08 19 34 39,0,566,15,6,8,19,34,39
9/26/2014,06 07 13 30 32,258492,573,14,6,7,13,30,32
9/27/2014,02 25 28 37 41,0,576,20,2,25,28,37,41
9/28/2014,04 14 20 21 27,0,388,13,4,14,20,21,27
9/29/2014,09 21 26 28 31,0,422,14,9,21,26,28,31
9/30/2014,08 13 19 21 31,469173,358,12,8,13,19,21,31
10/1/2014,01 06 12 23 26,40031,270,12,1,6,12,23,26
10/2/2014,06 07 11 27 29,0,245,9,6,7,11,27,29
10/3/2014,12 27 28 38 40,0,551,16,12,27,28,38,40
10/4/2014,02 07 08 12 37,0,462,12,2,7,8,12,37
10/5/2014,01 06 19 21 30,0,418,12,1,6,19,21,30
10/6/2014,03 04 29 32 34,0,608,16,3,4,29,32,34
10/7/2014,01 02 20 32 40,507103,534,16,1,2,20,32,40
10/8/2014,07 11 20 26 41,0,597,15,7,11,20,26,41
10/9/2014,09 18 19 20 40,0,614,14,9,18,19,20,40
10/10/2014,05 17 26 36 42,340487,634,17,5,17,26,36,42
10/11/2014,03 10 16 36 41,0,713,18,3,10,16,36,41
10/12/2014,05 11 14 29 31,81763,400,12,5,11,14,29,31
10/13/2014,03 04 37 39 42,0,625,21,3,4,37,39,42
10/14/2014,10 18 32 34 43,0,518,18,10,18,32,34,43
10/15/2014,08 10 13 22 27,314533,263,11,8,10,13,22,27
10/16/2014,22 23 27 28 30,0,485,14,22,23,27,28,30
10/17/2014,20 29 32 34 43,192916,737,19,20,29,32,34,43
10/18/2014,13 27 34 35 38,74179,865,18,13,27,34,35,38
10/19/2014,01 02 23 32 36,0,557,18,1,2,23,32,36
10/20/2014,03 10 14 24 37,166060,484,13,3,10,14,24,37
10/21/2014,03 04 06 12 36,0,368,12,3,4,6,12,36
