drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
2012-12-31,6,17,23,31,37,0,335.5,12
2012-12-30,9,10,27,32,39,0,233.5,12.5
2012-12-29,2,4,10,24,40,1e+06,244.5,10
2012-12-28,1,3,31,41,43,0,269.5,13
2012-12-27,8,9,11,12,33,0,174,8.5
2012-12-26,15,16,23,36,42,0,338,14
2012-12-25,13,24,28,30,37,0,345.5,12
2012-12-24,2,9,25,40,43,0,429,14.5
2012-12-23,3,5,17,19,28,7e+05,147.5,8
2012-12-22,15,17,21,38,40,0,343.5,13
2012-12-21,28,36,39,41,43,0,321.5,14.5
2012-12-20,19,23,34,41,42,0,388,15
2012-12-19,3,4,17,19,39,0,212.5,9.5
2012-12-18,5,11,25,26,35,325000,184,9.5
2012-12-17,4,17,19,28,35,0,271,10
2012-12-16,13,16,20,34,41,0,436.5,17
2012-12-15,15,30,31,34,39,225000,382,14.5
2012-12-14,3,13,29,37,43,0,253.5,11.5
2012-12-13,1,8,24,28,29,125000,200.5,9
2012-12-12,20,25,29,32,42,225000,308.5,14.5
2012-12-11,5,8,12,33,39,0,217.5,9
2012-12-10,15,17,22,29,36,325000,252.5,11.5
2012-12-09,24,34,38,40,41,0,336,15.5
2012-12-08,21,22,31,33,37,0,329,13.5
2012-12-07,16,22,26,31,32,325000,294.5,13.5
2012-12-06,4,5,16,20,22,0,180,8.5
2012-12-05,1,6,20,21,27,0,209,9.5
2012-12-04,2,10,20,26,43,5e+05,258.5,11
2012-12-03,5,15,19,20,32,0,220,9.5
2012-12-02,1,17,20,29,36,0,219.5,12.5
2012-12-01,2,9,14,17,18,0,169.5,8.5
2012-11-30,12,26,29,40,41,549266,306.5,14
2012-11-29,15,17,21,26,35,0,273,12
2012-11-28,13,21,24,25,33,0,220.5,10.5
2012-11-27,1,19,28,31,40,0,351,13.5
2012-11-26,5,12,22,23,24,1004321,172,9
2012-11-25,11,13,22,35,39,0,230.5,11.5
2012-11-24,7,26,29,31,35,0,380.5,12
